Workout #,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,A,B,C,A,B,C,A,B,C,A,B,C,A,B,C,A,B,C,A,B,C,A,B,C,A,B,C,A,B,C,A,B,C,A,B,C,A,B,C,A,B,C
,6,5,4,3,2,Neg,6,5,4,3,2,Neg,6,5,F,3,2,Neg,5,3,F,3,1,Neg,5,3,F,3,2,1,5,3,F,3,2,1,5,3,2,3,2,1
1RM
320,250,270,280,275,300,330,255,270,285,285,305,335,260,275,290,290,310,345,270,295,295,295,320,350,275,300,305,300,325,335,280,305,310,300,320,340,285,315,335,305,325,345
325,255,275,285,280,305,335,260,275,290,290,310,340,265,280,295,295,315,350,275,300,300,300,325,355,280,305,310,305,330,340,285,310,315,305,325,345,290,320,340,310,330,350
330,260,275,285,285,310,340,260,280,295,295,310,345,265,280,300,300,315,355,280,300,305,305,325,360,285,310,310,310,335,345,290,315,320,305,330,350,295,325,345,315,335,355
335,265,280,290,290,310,345,265,285,295,295,315,350,270,285,305,305,320,360,280,305,310,310,330,365,290,315,315,315,340,350,295,320,320,310,335,355,300,330,350,320,340,360
340,265,285,295,295,315,350,270,285,300,300,320,355,275,290,310,310,325,365,285,310,315,315,335,370,290,315,320,315,345,355,300,325,325,315,340,360,305,335,355,320,345,365
345,270,290,300,295,320,355,275,290,305,305,325,360,280,295,315,315,330,370,290,315,320,320,340,375,295,320,325,320,350,360,300,330,330,320,345,365,310,340,360,325,350,370
350,275,295,305,300,325,360,280,295,310,310,330,365,285,300,315,315,335,375,295,320,325,325,345,380,300,325,330,325,355,365,305,330,335,325,350,370,310,340,365,330,355,375
355,280,295,310,305,330,365,280,300,315,315,335,375,285,305,320,320,340,380,300,325,330,330,350,385,305,330,335,330,360,370,310,335,340,330,355,375,315,345,370,335,360,380
360,285,300,315,310,335,370,285,305,320,320,340,380,290,305,325,325,345,385,305,330,335,330,355,390,310,335,340,335,365,375,315,340,345,335,360,380,320,350,375,340,365,385
365,285,305,320,315,340,375,290,310,325,325,345,385,295,310,330,330,350,390,305,335,335,335,360,400,315,340,345,340,370,380,320,345,350,340,365,385,325,355,380,345,370,390
370,290,310,325,320,345,380,295,315,330,330,350,390,300,315,335,335,355,395,310,340,340,340,365,405,315,345,350,345,375,385,325,350,355,345,370,390,330,360,385,350,375,395
375,295,315,330,325,350,385,300,315,335,335,355,395,305,320,340,340,360,400,315,345,345,345,370,410,320,350,355,350,380,390,325,355,360,345,375,395,335,365,385,355,380,400
380,300,320,335,330,355,390,300,320,340,340,360,400,310,325,345,345,365,405,320,345,350,350,375,415,325,355,355,355,380,395,330,360,365,350,375,400,335,370,390,355,385,405
385,305,325,335,335,360,395,305,325,345,345,365,405,310,330,350,350,370,410,325,350,355,355,380,420,330,360,360,355,385,400,335,365,370,355,380,405,340,375,395,360,390,410
390,310,330,340,340,365,405,310,330,350,345,370,410,315,335,355,355,375,415,330,355,360,360,385,425,335,365,365,360,390,405,340,370,375,360,385,410,345,380,400,365,395,415
395,310,330,345,340,370,410,315,335,350,350,375,415,320,335,360,360,380,425,330,360,365,365,390,430,340,365,370,365,395,410,345,375,375,365,390,415,350,385,405,370,400,420
400,315,335,350,345,375,415,320,340,355,355,380,420,325,340,365,360,385,430,335,365,370,370,395,435,340,370,375,370,400,415,350,380,380,370,395,420,355,390,410,375,405,425
405,320,340,355,350,380,420,325,345,360,360,385,425,330,345,370,365,390,435,340,370,375,375,400,440,345,375,380,375,405,420,350,380,385,375,400,425,360,390,415,380,405,430
410,325,345,360,355,385,425,325,350,365,365,390,430,330,350,370,370,395,440,345,375,380,380,405,445,350,380,385,380,410,425,355,385,390,380,405,430,360,395,420,385,410,435
415,330,350,365,360,390,430,330,350,370,370,395,435,335,355,375,375,400,445,350,380,385,380,410,450,355,385,390,385,415,430,360,390,395,380,410,435,365,400,425,390,415,440
420,335,355,370,365,395,435,335,355,375,375,400,440,340,360,380,380,405,450,355,385,390,385,415,455,360,390,395,390,420,435,365,395,400,385,415,440,370,405,430,390,420,445
425,335,360,375,370,400,440,340,360,380,380,400,445,345,365,385,385,410,455,360,390,390,390,420,460,365,395,400,395,425,440,370,400,405,390,420,445,375,410,435,395,425,450
430,340,365,380,375,405,445,345,365,385,385,405,455,350,365,390,390,415,460,360,395,395,395,425,465,365,400,405,400,430,445,375,405,410,395,425,450,380,415,440,400,430,455
435,345,365,385,380,410,450,345,370,390,390,410,460,355,370,395,395,420,465,365,395,400,400,430,475,370,405,410,400,435,450,375,410,415,400,430,455,385,420,445,405,435,460
440,350,370,385,380,415,455,350,375,395,395,415,465,355,375,400,400,425,470,370,400,405,405,435,480,375,410,410,405,440,455,380,415,420,405,435,460,385,425,450,410,440,465
445,355,375,390,385,420,460,355,380,400,395,420,470,360,380,405,405,430,475,375,405,410,410,440,485,380,410,415,410,445,460,385,420,425,410,440,465,390,430,455,415,445,470
450,355,380,395,390,425,465,360,385,405,400,425,475,365,385,410,410,435,480,380,410,415,415,445,490,385,415,420,415,450,465,390,425,430,415,445,470,395,435,460,420,450,475
